model, test_case, trials, image, blocksize_x, blocksize_y, rows, cols, total_pixels, avg_time(us)
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 32, 1, 441, 441, 194481, 17.709000
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 32, 2, 441, 441, 194481, 22.302999
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 32, 16, 883, 883, 779689, 47.665001
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 32, 8, 441, 441, 194481, 15.377000
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 32, 8, 15000, 15000, 225000000, 2039.866943
GPGPU, sharedmemory, 100, earth_set/earth-883-883.jpg, 32, 4, 883, 883, 779689, 50.720001
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 32, 32, 1767, 1767, 3122289, 84.612000
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 22, 22, 1250, 1250, 1562500, 73.304001
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 4, 32, 5000, 5000, 25000000, 346.515991
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 32, 2, 15000, 15000, 225000000, 2441.758057
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 4, 32, 10000, 10000, 100000000, 1261.235962
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 32, 32, 2500, 2500, 6250000, 122.786003
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 22, 22, 7071, 7071, 49999041, 540.765991
BASE, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, , , 1250, 1250, 1562500, 851.476990
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 32, 8, 2500, 2500, 6250000, 115.870003
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 32, 2, 220, 220, 48400, 7.361000
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 32, 16, 3535, 3535, 12496225, 153.457001
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 32, 1, 5000, 5000, 25000000, 515.822998
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 32, 8, 2500, 2500, 6250000, 104.987999
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 4, 32, 3535, 3535, 12496225, 221.203995
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 32, 16, 441, 441, 194481, 15.258000
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 1, 1, 220, 220, 48400, 41.425999
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 32, 8, 1767, 1767, 3122289, 88.801003
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 32, 2, 883, 883, 779689, 46.319000
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 4, 32, 15000, 15000, 225000000, 2864.805908
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 4, 32, 441, 441, 194481, 17.664000
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 32, 32, 1250, 1250, 1562500, 73.800003
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 32, 8, 220, 220, 48400, 8.952000
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 32, 1, 1767, 1767, 3122289, 108.446999
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 32, 16, 7071, 7071, 49999041, 507.950989
GPGPU, sharedmemory, 100, earth_set/earth-1250-1250.jpg, 32, 4, 1250, 1250, 1562500, 63.340000
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 32, 4, 3535, 3535, 12496225, 155.014008
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 32, 4, 5000, 5000, 25000000, 253.662003
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 32, 1, 1250, 1250, 1562500, 79.047997
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 1, 1, 441, 441, 194481, 145.837997
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 32, 4, 1767, 1767, 3122289, 89.142998
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 32, 16, 15000, 15000, 225000000, 2136.694092
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 32, 2, 3535, 3535, 12496225, 173.541000
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 32, 2, 3535, 3535, 12496225, 181.216003
GPGPU, sharedmemory, 100, earth_set/earth-441-441.jpg, 32, 4, 441, 441, 194481, 17.180000
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 22, 22, 3535, 3535, 12496225, 168.649002
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 32, 1, 2500, 2500, 6250000, 185.136002
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 32, 4, 15000, 15000, 225000000, 1961.178955
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 32, 8, 3535, 3535, 12496225, 151.393005
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 1, 1, 10000, 10000, 100000000, 62610.496094
BASE, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, , , 7071, 7071, 49999041, 27378.751953
BASE, fastsqrt, 1000, earth_set/earth-441-441.jpg, , , 441, 441, 194481, 108.287003
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 1, 1, 2500, 2500, 6250000, 4036.958008
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 32, 1, 3535, 3535, 12496225, 280.253998
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 4, 32, 220, 220, 48400, 7.506000
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 32, 16, 1250, 1250, 1562500, 59.970001
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 32, 2, 7071, 7071, 49999041, 553.185974
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 32, 4, 5000, 5000, 25000000, 259.437988
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 32, 16, 220, 220, 48400, 7.221000
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 22, 22, 5000, 5000, 25000000, 294.156006
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 32, 32, 220, 220, 48400, 9.477000
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 1, 1, 883, 883, 779689, 527.077026
BASE, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, , , 2500, 2500, 6250000, 3352.314941
